Nome,Telefone,Site
Accenture Brasil,11999887766,https://www.accenture.com/br-pt
Magazine Luiza,11988776655,https://www.magazineluiza.com.br
Ambev,11977665544,https://www.ambev.com.br
Totvs,11966554433,https://www.totvs.com
Stone,21955443322,https://www.stone.com.br
Natura,11944332211,https://www.natura.com.br
Grupo Fleury,11933221100,https://www.grupofleury.com.br
Localiza,31922110099,https://www.localiza.com
Porto Seguro,11911009988,https://www.portoseguro.com.br
Movile,11900998877,https://www.movile.com
B2W Digital,21899887766,https://ri.b2wdigital.com
Smart Fit,11888776655,https://www.smartfit.com.br
Nubank,11877665544,https://nubank.com.br
iFood,11866554433,https://www.ifood.com.br
QuintoAndar,11855443322,https://www.quintoandar.com.br
